airport_name,tails_num,crewmembers_num,reservations_num
KTEB,22,76,116
KPBI,10,22,83
KHPN,3,20,62
KAPF,11,28,52
KSDL,12,30,45
KMIA,7,33,45
KASE,12,22,38
KVNY,11,41,38
KIAD,18,49,37
KBZN,10,25,37
KDAL,38,88,35
KEGE,4,10,35
KSLC,11,36,34
KLAS,18,47,31
KSNA,4,17,30
KAUS,5,25,28
KBOS,1,5,28
MYNN,7,8,27
KSUA,5,20,23
KMDW,16,54,22
KJAC,3,5,22
KSRQ,6,18,21
KPDK,2,23,21
KSGR,4,10,20
KSJC,7,20,19
KPWK,5,9,19
KHOU,3,9,19
MMSD,6,9,18
KCLT,5,18,18
KMCO,3,38,18
KBNA,3,24,18
KSFO,3,9,18
KBCT,2,10,18
KTPA,1,32,18
KCHS,1,15,18
KRDU,0,21,17
KLAX,4,20,16
MYAM,2,0,16
KCMH,35,46,15
KOPF,6,10,15
KPHL,3,27,15
KJZI,2,4,15
KBED,1,6,15
KORL,4,6,13
KHCR,4,3,13
KSTL,2,14,13
KFLL,16,37,12
KMSP,3,24,12
MMSL,3,6,12
KFTY,2,4,12
KLUK,2,4,12
KSBA,0,4,12
KBFI,6,22,11
KMMU,0,2,11
KTEX,0,0,11
MMPR,5,4,10
KAPA,2,13,10
KFXE,2,8,10
KMKC,2,4,10
KRSW,1,19,10
KSAN,1,9,10
KBUR,1,2,10
MBPV,4,4,9
KISM,4,0,9
KTMB,4,0,9
KIAH,3,16,9
KCRQ,2,5,9
KPSP,2,4,9
KJAX,0,19,9
KRIC,0,5,9
KLIT,0,4,9
07FA,0,0,9
KICT,21,15,8
KMSY,4,10,8
KMRY,3,4,8
KSUN,3,3,8
KRNO,2,12,8
KOMA,1,12,8
KCHO,1,10,8
KBHM,1,4,8
KSAT,0,4,8
CYYZ,0,0,8
KBUF,3,7,7
KVRB,2,6,7
KBWI,1,9,7
KECP,1,8,7
KRIL,1,3,7
KMEM,0,8,7
KBDL,2,9,6
KPIT,1,11,6
KSUS,1,5,6
KHDN,1,3,6
KBJC,1,0,6
KPHX,0,29,6
KPDX,0,5,6
KSDF,0,4,6
KDTS,0,2,6
KOAK,0,1,6
KBDR,0,0,6
TQPF,5,4,5
TAPA,4,5,5
KMAF,3,8,5
KPVD,3,5,5
KCHA,2,6,5
KELP,2,5,5
KCRG,1,0,5
KPIE,1,0,5
KUGN,1,0,5
KCLE,0,8,5
KJWN,0,4,5
KMKE,0,2,5
KAFW,0,0,5
KSTS,0,0,5
KAGS,7,2,4
KGSO,5,14,4
KLNK,5,0,4
KCOS,4,11,4
KDSM,3,9,4
KJFK,3,7,4
KEYW,3,6,4
KRST,3,4,4
KAPC,2,6,4
KLEX,1,9,4
KORD,1,6,4
KTTN,1,5,4
KFCM,1,4,4
KTRM,1,2,4
KHND,1,0,4
KHXD,1,0,4
KDFW,0,19,4
KATL,0,10,4
KTUL,0,8,4
KORF,0,5,4
KROA,0,4,4
KEWR,0,3,4
KMSO,0,1,4
KDPA,0,0,4
KPWA,0,0,4
KSDM,0,0,4
KSMO,0,0,4
KNEW,5,4,3
KTUS,4,10,3
TJSJ,4,9,3
KSAV,3,13,3
KDTW,2,15,3
PHOG,2,6,3
TXKF,2,2,3
KDAY,1,7,3
KIND,1,6,3
KCID,1,5,3
KFRG,1,3,3
MWCR,1,3,3
KACY,1,2,3
KMQS,1,2,3
KOCF,1,2,3
KOKC,1,2,3
KSAF,1,2,3
KFOK,1,0,3
KLVK,1,0,3
T82,1,0,3
KDEN,0,35,3
KTYS,0,12,3
KMHT,0,9,3
KMSN,0,6,3
KFHB,0,4,3
KXNA,0,4,3
KSBN,0,3,3
FA54,0,2,3
KGVL,0,2,3
KOSU,0,2,3
KPSM,0,2,3
KBTR,0,1,3
KEUG,0,1,3
CYVR,0,0,3
KAMA,0,0,3
KBIV,0,0,3
KBVY,0,0,3
KCLL,0,0,3
KCXU,0,0,3
KFCI,0,0,3
KGJT,0,0,3
KHVN,0,0,3
KLAF,0,0,3
KLAL,0,0,3
KMDD,0,0,3
KMKY,0,0,3
KMMH,0,0,3
KMYL,0,0,3
KOFP,0,0,3
KPHF,0,0,3
KSAC,0,0,3
KSGJ,0,0,3
KVGT,0,0,3
MYEH,0,0,3
MYGF,0,0,3
KSVH,7,2,2
KDAB,3,21,2
KFTW,3,8,2
KADS,3,4,2
KPTK,3,4,2
KSGU,2,7,2
KTCL,2,3,2
MDCY,2,3,2
KDWH,2,2,2
KJQF,2,2,2
KFMY,1,5,2
KGRB,1,5,2
KAGC,1,4,2
KLGA,1,4,2
MDLR,1,4,2
KLRD,1,3,2
KMTJ,1,3,2
KAVQ,1,2,2
KERI,1,2,2
KGPI,1,2,2
KLGB,1,2,2
KTKI,1,2,2
KUDD,1,2,2
KYNG,1,2,2
LIML,1,2,2
KAVP,1,0,2
KESN,1,0,2
KINT,1,0,2
KRME,1,0,2
KVQQ,1,0,2
KGRR,0,13,2
KMLB,0,11,2
KGSP,0,9,2
KPNS,0,9,2
KPWM,0,8,2
KAVL,0,5,2
KILM,0,5,2
KMDT,0,5,2
KBTV,0,4,2
KMLI,0,4,2
EBLG,0,3,2
KRAP,0,3,2
KDCA,0,2,2
KLBB,0,1,2
38XS,0,0,2
CYYT,0,0,2
EINN,0,0,2
F70,0,0,2
KAMW,0,0,2
KBFM,0,0,2
KBKS,0,0,2
KBLI,0,0,2
KBXM,0,0,2
KCCR,0,0,2
KCEU,0,0,2
